Filename,peo_su8_00_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 000_PEO_SU8,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-7.85E-04,0.0103111,0.531556,3.60451,20.02,-53.9157,-0.0762215,20.016,-1202630,3.60451,-0.044409,1.17E-04
-1.04E-03,0.0108304,0.478293,10.5513,20.02,-54.7094,-0.0773436,20.024,-1013910,10.5513,-0.0590031,1.28E-04
-9.42E-04,0.011537,0.434415,17.5637,20.02,-54.6598,-0.0772735,20.0304,-807416,17.5637,-0.0532681,1.43E-04
-1.30E-03,0.0115535,0.432693,24.576,20.02,-54.1203,-0.0765108,20.0317,-628738,24.576,-0.0737308,1.61E-04
-1.37E-03,0.0123702,0.403142,31.5228,20.01,-54.4926,-0.0770372,20.027,-513295,31.5228,-0.0776503,1.79E-04
-1.16E-03,0.0129267,0.390614,38.4697,20.01,-54.8098,-0.0774856,20.0313,-412931,38.4697,-0.0654477,2.00E-04
-8.15E-04,0.0131962,0.384688,45.482,20,-54.246,-0.0766884,20.0317,-326237,45.482,-0.0460744,2.24E-04
-5.04E-04,0.0139829,0.37312,52.4944,20.01,-54.788,-0.0774547,20.029,-261693,52.4944,-0.0284837,2.52E-04
-2.18E-04,0.0144762,0.366817,59.4412,20,-54.8828,-0.0775888,20.0286,-211033,59.4412,-0.0123423,2.81E-04
4.18E-04,0.0150722,0.359845,66.388,20,-54.8151,-0.0774931,20.0242,-168442,66.388,0.0236415,3.14E-04
8.55E-04,0.0158972,0.350133,73.4004,20,-55.1642,-0.0779866,20.0156,-134043,73.4004,0.0483663,3.53E-04
1.19E-03,0.0161837,0.346541,80.4127,20,-55.0471,-0.077821,20.0074,-107041,80.4127,0.0672592,3.95E-04
1.78E-03,0.0172148,0.333702,87.3595,20,-55.1027,-0.0778996,20.0151,-85575.6,87.3595,0.100763,4.42E-04
2.61E-03,0.0181075,0.32133,94.3063,20,-54.9395,-0.0776689,20.0292,-68141.2,94.3063,0.1474,4.94E-04
1.82E-03,0.0181891,0.320642,101.253,20,-55.1707,-0.0779958,20.028,-54362.6,101.253,0.102769,5.54E-04
1.96E-03,0.0196626,0.299995,108.266,20,-55.2342,-0.0780855,20.0336,-43612.5,108.266,0.110666,6.19E-04
2.89E-03,0.0202864,0.291352,115.278,20,-54.2864,-0.0767456,20.0281,-34193.8,115.278,0.163305,6.93E-04
4.14E-03,0.0205071,0.288743,122.225,20,-54.5236,-0.0770809,20.0287,-27418,122.225,0.234005,7.76E-04
5.28E-03,0.0224584,0.265051,129.171,20,-54.5211,-0.0770773,20.0273,-21895.9,129.171,0.298544,8.68E-04
6.41E-03,0.0227202,0.262823,136.184,20.01,-54.7793,-0.0774424,20.0293,-17519.6,136.184,0.362715,9.73E-04
7.24E-03,0.023337,0.256452,143.196,20,-54.4737,-0.0770104,20.0265,-13944.2,143.196,0.409564,1.09E-03
8.65E-03,0.0254093,0.239929,150.143,20,-55.5382,-0.0785153,20.0144,-11356.2,150.143,0.488912,1.22E-03
0.0102121,0.0256514,0.239039,157.09,20,-55.1101,-0.07791,20.0207,-8995.05,157.09,0.577481,1.36E-03
0.0118586,0.0262887,0.234818,164.037,20,-54.7585,-0.0774129,20.019,-7143.16,164.037,0.670586,1.52E-03
0.0141783,0.0284293,0.225512,171.049,20,-54.4573,-0.0769872,20.0221,-5660.14,171.049,0.801765,1.71E-03
0.0161384,0.0292983,0.222399,178.061,20,-54.5882,-0.0771723,20.0289,-4521.8,178.061,0.912602,1.91E-03
0.0183456,0.0299859,0.220032,185.008,20,-54.8569,-0.0775521,20.0266,-3630.7,185.008,1.03742,2.14E-03
0.0205611,0.0318065,0.214812,191.955,20,-54.477,-0.0770151,20.0234,-2880.46,191.955,1.1627,2.39E-03
0.0220685,0.0334638,0.210525,198.967,20,-54.8088,-0.0774841,20.0307,-2309.61,198.967,1.24794,2.68E-03
0.0236392,0.0338353,0.209595,205.98,20,-54.8855,-0.0775926,20.0321,-1844.31,205.98,1.33677,3.00E-03
0.0259332,0.0356264,0.205345,212.926,20,-54.8822,-0.0775879,20.024,-1473.04,212.926,1.46649,3.36E-03
0.0283556,0.0382214,0.1996,219.873,20,-54.802,-0.0774745,20.0265,-1175.35,219.873,1.60347,3.76E-03
0.0306793,0.0385688,0.198844,226.886,20,-54.7403,-0.0773873,20.034,-935.9,226.886,1.73487,4.21E-03
0.0330822,0.0398924,0.196119,233.898,20,-55.035,-0.0778039,20.0251,-750.294,233.898,1.87075,4.71E-03
0.0350377,0.0436562,0.188902,240.845,20,-54.7018,-0.0773329,20.0208,-595.814,240.845,1.98133,5.27E-03
0.0370845,0.0439842,0.188358,247.792,20,-54.6478,-0.0772565,20.0185,-475.389,247.792,2.09708,5.90E-03
0.0387282,0.0446307,0.187174,254.738,20,-55.2841,-0.0781561,20.0316,-384.406,254.738,2.19003,6.60E-03
0.0403007,0.0495802,0.179197,261.751,20,-55.0517,-0.0778275,20.0247,-305.142,261.751,2.27895,7.39E-03
0.0420719,0.0498644,0.178233,268.763,20,-54.8403,-0.0775287,20.0251,-242.457,268.763,2.37911,8.28E-03
0.0436745,0.0498955,0.17868,275.71,20,-54.856,-0.0775509,20.0353,-193.724,275.71,2.46973,9.26E-03
0.0212895,0.0559257,0.167535,282.657,20,-54.562,-0.0771352,20.0311,-153.808,282.657,1.20389,0.0103634
0.0152031,0.0564785,0.165805,289.669,20.01,-54.6011,-0.0771905,20.0279,-122.842,289.669,0.859716,0.0116005
0.0162082,0.0569546,0.165479,296.681,20,-54.8707,-0.0775716,20.0299,-98.4343,296.681,0.916554,0.0129911
0.0172318,0.0625331,0.153394,303.628,20,-55.1528,-0.0779704,20.0276,-79.0471,303.628,0.974436,0.0145341
0.018487,0.063,0.152209,310.575,20,-54.9582,-0.0776953,20.0159,-62.9378,310.575,1.04542,0.0162596
0.0198882,0.065053,0.14805,317.587,20,-54.9124,-0.0776306,20.0196,-50.1434,317.587,1.12465,0.0182086
