Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference
Gelatin,NA,AceticAcid,26.5555,6.17,117.971,1.051,1.52,NFES,11,NA,NA,PDMS,1.25,1000,NA,2500,40,Xue 2014
PVDF,534000,Acetone,22.4998,20.9,56.2645,0.7845,24.227,3D ES,17,100,0.84,paper,0.75,1900,10,NA,NA,Kim 2018
POSS-PCU,2000,Butanol,24.1947,17.4849,117.7,0.8098,0.58,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007
POSS-PCL-PCU,2000,Butanol,24.1947,17.4849,117.7,0.8098,0.58,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007
POSS-PCU,2000,Dimethylacetamide DMAC,34,23,165,0.9366,0.33,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007
POSS-PCL-PCU,2000,Dimethylacetamide DMAC,34,23,165,0.9366,0.33,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007
PLGA,NA,Dimethylcarbonate DMC,28.3,3.087,90.5,1.0636,7.4,TPES,NA,NA,NA,PTFE,NA,NA,NA,304.7,NA,Coppola 2014
PVDF,440000,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Helix EHD,18,260,24,PDMS,30,2250,6.667,2250,NA,Duang 2017
PEO-TBF,4000000,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,0.75,NA,NA,Brass,NA,980,NA,NA,NA,Cisquella-Serra 2019
PVDF,534000,Dimethylsulfoxide DMSO,42.86,46.7,189,1.101,0.0493,3D ES,17,100,0.84,paper,0.75,1900,10,NA,NA,Kim 2018
PEO,30000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,Blow EDW,8,210,30,Si,2,2000,10.5,3730,5.13,Jiang 2018
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,NFES,16,40,NA,Si,1,1700,360,5150,NA,Zheng 2010
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,NFES,18,40,NA,Si,1,1700,360,5150,NA,Zheng 2010
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,EDW,14,210,50,PET,2,3000,700,25000,70,Zheng 2014
PEO,200000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,Suspension,14,250,10.8,Si,5.25,1600,150,300,300,Nagle 2019
Gelatin,NA,Ethylacetate,23.17,6.02,77.1,0.902,10,NFES,11,NA,NA,PDMS,1.25,1000,NA,2500,40,Xue 2014
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,0.5,1000,200,300,25,Sun 2006
PEO,4000000,NA,NA,NA,NA,NA,NA,NFES,2,150,NA,Si,2,1250,NA,NA,20,Xu 2014
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si,2.5,3500,133,289.26,50,Min 2013
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,SiO2,2.5,3500,133,289.26,50,Min 2013
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,3,2,NA,Si,30,450,5,115000,NA,Song 2015
MEH-PPV,380000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,Si,0.5,1300,500,100,100,Camillo 2013
PEO,300000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,Si,0.5,1300,500,100,100,Camillo 2013
MEH-PPV,380000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,SiO2,0.5,1300,500,100,100,Camillo 2013
PEO,300000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,SiO2,0.5,1300,500,100,100,Camillo 2013
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,1,210,1,C,1,300,25,237,NA,Bisht 2011
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,2,210,1,C,1,300,25,237,NA,Bisht 2011
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,3,210,1,C,1,300,25,237,NA,Bisht 2011
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,1,210,1,Si,1,300,25,237,NA,Bisht 2011
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,2,210,1,Si,1,300,25,237,NA,Bisht 2011
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,3,210,1,Si,1,300,25,237,NA,Bisht 2011
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,Scanning Tip,7,100,0.1,NA,0.5,800,120,61,NA,Chang 2008
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,6,NA,72000,NA,7.5,900,400,275,5,Huang 2015
PEO,30000,Water,72.8,80.1,99.974,1,2.3393,Blow EDW,8,210,30,Si,2,2000,10.5,3730,5.13,Jiang 2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,120,NA,2,2200,NA,5470,4000,Wang 2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.5,2500,20,NA,272000,Wang 2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4,2500,20,NA,2511.3,Wang 2018
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,16,40,NA,Si,1,1700,360,5150,NA,Zheng 2010
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,18,40,NA,Si,1,1700,360,5150,NA,Zheng 2010
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,EDW,14,210,50,PET,2,3000,700,25000,70,Zheng 2014
PEO,200000,Water,72.8,80.1,99.974,1,2.3393,Suspension,14,250,10.8,Si,5.25,1600,150,300,300,Nagle 2019
PEO,400000,Water,72.8,80.1,99.974,1,2.3393,NFES,10,108,NA,Si,0.5,400,5,NA,50,Shin 2018
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,8,400,NA,Si,0.5,1100,200,740,20,Fuh 2011
